model_layer,model_name,field_name,business_name_ru,description_ru,description_en,semantic_type,is_key,source_field_names,source_json_paths,source_datasets,source_yaml_files,json_value_types,has_actual_examples,notes
staging/core,orders,warehouse_id,ID склада,"Идентификатор склада, связанного с заказом. В зависимости от метода может означать склад продавца, склад приёмки или склад отгрузки.",Warehouse ID related to the order.,warehouse_identifier,True,"[""warehouseId""]","[""orders[].warehouseId""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,delivery_type,Тип доставки,"Тип доставки заказа. Для наших mock-данных используется словарь: fbs, dbs, edbs, dbsPickupPoint, dbw, pickupPoint, selfPickup.","Delivery type. In mock data: fbs, dbs, edbs, dbsPickupPoint, dbw, pickupPoint, selfPickup.",delivery_type,False,"[""deliveryType""]","[""orders[].deliveryType""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""02-items.yaml"", ""03-orders-fbs.yaml""]","[""string""]",True,manual_override
staging/core,orders,delivery_method,Метод доставки / модель продажи,Метод доставки или модель продажи. В финансовых отчётах WB описывает sales model and item type.,Delivery method / sales model and item type.,delivery_method,False,"[""deliveryMethod""]","[""orders[].deliveryMethod""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""13-finances.yaml""]","[""string""]",True,manual_override
staging/core,orders,price,Цена заказа,"Цена в валюте продажи с учётом скидок, кроме скидки WB Кошелька. В order API значения часто умножены на 100.",Price in sale currency including discounts except WB Wallet discount. In order APIs values are often multiplied by 100.,money_amount,False,"[""price""]","[""orders[].price"", ""orders[].priceInfo.price""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,sale_price,Цена продавца со скидкой,"Цена продавца в валюте продажи с учётом скидки продавца, без учёта скидки WB Клуба. В order API значения часто умножены на 100.","Seller price in sale currency including seller discount, excluding WB Club discount. Often multiplied by 100.",money_amount,False,"[""salePrice""]","[""orders[].salePrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,final_price,Итоговая сумма к оплате покупателем,Сумма к оплате покупателем в валюте продажи с учётом всех скидок. В order API значения часто умножены на 100.,Final amount charged to the buyer in sale currency including all discounts. Often multiplied by 100.,money_amount,False,"[""finalPrice""]","[""orders[].finalPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,converted_price,Цена в валюте страны продавца,"Цена в валюте страны продавца с учётом скидок, кроме скидки WB Кошелька. В order API значения часто умножены на 100.",Price in seller country currency including discounts except WB Wallet discount. Often multiplied by 100.,money_amount,False,"[""convertedPrice""]","[""orders[].convertedPrice"", ""orders[].priceInfo.convertedPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,converted_final_price,Итоговая сумма в валюте страны продавца,Сумма к оплате покупателем в валюте страны продавца с учётом всех скидок. В order API значения часто умножены на 100.,Final amount charged to the buyer in seller country currency including all discounts. Often multiplied by 100.,money_amount,False,"[""convertedFinalPrice""]","[""orders[].convertedFinalPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,currency_code,Код валюты,Код валюты продажи.,Sale currency code.,currency_code,False,"[""currencyCode""]","[""orders[].currencyCode"", ""orders[].priceInfo.currencyCode""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,created_at,Дата и время создания заказа,Дата и время создания заказа или сборочного задания.,Order or assembly task creation date and time.,event_timestamp,False,"[""createdAt""]","[""orders[].createdAt""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""string""]",True,manual_override
